"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\library-app-alpha.iml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\anxoa\WebstormProjects\library-app-alpha\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package-lock.json", "JSON", 36593, 0, 0, 0, 0, 0, 0, 1, 36594
"c:\Users\anxoa\WebstormProjects\library-app-alpha\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\anxoa\WebstormProjects\library-app-alpha\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\anxoa\WebstormProjects\library-app-alpha\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\anxoa\WebstormProjects\library-app-alpha\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.js", "JavaScript", 0, 79, 0, 0, 0, 0, 1, 8, 88
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.css", "CSS", 0, 0, 0, 178, 0, 0, 9, 25, 212
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminDashboard.js", "JavaScript", 0, 379, 0, 0, 0, 0, 3, 25, 407
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminReservations.js", "JavaScript", 0, 168, 0, 0, 0, 0, 3, 25, 196
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\AdminUsers.js", "JavaScript", 0, 188, 0, 0, 0, 0, 3, 21, 212
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Authors.js", "JavaScript", 0, 240, 0, 0, 0, 0, 8, 24, 272
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookCard.css", "CSS", 0, 0, 0, 48, 0, 0, 6, 9, 63
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookCard.js", "JavaScript", 0, 35, 0, 0, 0, 0, 1, 4, 40
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.css", "CSS", 0, 0, 0, 39, 0, 0, 5, 6, 50
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\BookDetails.js", "JavaScript", 0, 231, 0, 0, 0, 0, 10, 32, 273
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Books.js", "JavaScript", 0, 577, 0, 0, 0, 0, 10, 48, 635
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Categories.js", "JavaScript", 0, 204, 0, 0, 0, 0, 8, 24, 236
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.css", "CSS", 0, 0, 0, 69, 0, 0, 2, 14, 85
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Category.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 13, 97
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\DelayedBooks.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 19, 143
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\EditBook.js", "JavaScript", 0, 207, 0, 0, 0, 0, 4, 14, 225
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.css", "CSS", 0, 0, 0, 74, 0, 0, 3, 13, 90
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Homepage.js", "JavaScript", 0, 86, 0, 0, 0, 0, 3, 12, 101
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Languages.js", "JavaScript", 0, 215, 0, 0, 0, 0, 8, 24, 247
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.css", "CSS", 0, 0, 0, 50, 0, 0, 1, 9, 60
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Login.js", "JavaScript", 0, 74, 0, 0, 0, 0, 3, 11, 88
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.css", "CSS", 0, 0, 0, 175, 0, 0, 12, 30, 217
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Navbar.js", "JavaScript", 0, 171, 0, 0, 0, 0, 1, 13, 185
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Publisher.js", "JavaScript", 0, 221, 0, 0, 0, 0, 8, 24, 253
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.css", "CSS", 0, 0, 0, 45, 0, 0, 1, 8, 54
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Register.js", "JavaScript", 0, 66, 0, 0, 0, 0, 1, 8, 75
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.css", "CSS", 0, 0, 0, 114, 0, 0, 1, 18, 133
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Reservations.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 20, 220
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\components\Subjects.js", "JavaScript", 0, 205, 0, 0, 0, 0, 8, 24, 237
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\firebase.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 3, 19
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\anxoa\WebstormProjects\library-app-alpha\src\styles.css", "CSS", 0, 0, 0, 105, 0, 0, 15, 29, 149
"c:\Users\anxoa\WebstormProjects\library-app-alpha\tailwind.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 4, 19
"Total", "-", 36667, 3825, 38, 950, 28, 20, 170, 618, 42316
